[2026-05-06 09:57:45] GAME CREATED
[2026-05-06 10:14:01] PLAYER JOINED: chetan as red
[2026-05-06 10:14:13] PLAYER JOINED: asha as blue
[2026-05-06 10:14:19] GAME STARTED — turn order: ['red', 'blue']
[2026-05-06 10:14:20] MOVE chetan (red): 115→102 [0.2ms]
[2026-05-06 10:14:21] MOVE asha (blue): 3→14 [0.1ms]
[2026-05-06 10:14:22] MOVE chetan (red): 120→104 [0.6ms]
[2026-05-06 10:14:23] MOVE asha (blue): 0→16 [0.1ms]
[2026-05-06 10:14:24] MOVE chetan (red): 111→89 [0.3ms]
[2026-05-06 10:14:25] MOVE asha (blue): 4→13 [0.1ms]
[2026-05-06 10:14:26] MOVE chetan (red): 116→78 [0.2ms]
[2026-05-06 10:14:27] MOVE asha (blue): 5→18 [0.1ms]
[2026-05-06 10:14:28] MOVE chetan (red): 112→92 [0.1ms]
[2026-05-06 10:14:29] MOVE asha (blue): 6→26 [0.1ms]
[2026-05-06 10:14:30] MOVE chetan (red): 113→91 [0.1ms]
[2026-05-06 10:14:31] MOVE asha (blue): 7→29 [0.1ms]
[2026-05-06 10:14:32] MOVE chetan (red): 117→106 [0.1ms]
[2026-05-06 10:14:33] MOVE asha (blue): 8→28 [0.2ms]
[2026-05-06 10:14:34] MOVE chetan (red): 114→94 [0.1ms]
[2026-05-06 10:14:35] MOVE asha (blue): 9→31 [0.1ms]
[2026-05-06 10:14:35] MOVE chetan (red): 92→67 [0.1ms]
[2026-05-06 10:14:36] MOVE asha (blue): 14→37 [0.1ms]
[2026-05-06 10:14:37] MOVE chetan (red): 118→116 [0.2ms]
[2026-05-06 10:14:38] MOVE asha (blue): 29→48 [0.1ms]
[2026-05-06 10:14:39] MOVE chetan (red): 119→88 [0.1ms]
[2026-05-06 10:14:40] MOVE asha (blue): 1→4 [0.1ms]
[2026-05-06 10:14:40] MOVE chetan (red): 116→112 [0.1ms]
[2026-05-06 10:14:41] MOVE asha (blue): 2→25 [0.1ms]
[2026-05-06 10:14:42] MOVE chetan (red): 112→90 [0.1ms]
[2026-05-06 10:14:43] MOVE asha (blue): 4→7 [0.1ms]
[2026-05-06 10:14:44] MOVE chetan (red): 102→58 [0.1ms]
[2026-05-06 10:14:45] MOVE asha (blue): 13→57 [0.3ms]
[2026-05-06 10:14:46] MOVE chetan (red): 67→47 [0.2ms]
[2026-05-06 10:14:46] MOVE asha (blue): 25→36 [0.1ms]
[2026-05-06 10:14:47] MOVE chetan (red): 90→49 [0.2ms]
[2026-05-06 10:14:48] MOVE asha (blue): 48→68 [0.2ms]
[2026-05-06 10:14:49] MOVE chetan (red): 78→13 [0.1ms]
[2026-05-06 10:14:50] MOVE asha (blue): 7→66 [0.1ms]
[2026-05-06 10:14:51] MOVE chetan (red): 13→14 [0.1ms]
[2026-05-06 10:14:51] MOVE asha (blue): 37→102 [0.1ms]
[2026-05-06 10:14:52] MOVE chetan (red): 14→6 [0.2ms]
[2026-05-06 10:14:53] MOVE asha (blue): 102→111 [0.1ms]
[2026-05-06 10:14:54] MOVE chetan (red): 58→3 [0.2ms]
[2026-05-06 10:14:55] MOVE asha (blue): 16→115 [0.2ms]
[2026-05-06 10:14:56] MOVE chetan (red): 104→16 [0.1ms]
[2026-05-06 10:14:57] MOVE asha (blue): 111→118 [0.2ms]
[2026-05-06 10:14:57] MOVE chetan (red): 6→1 [0.1ms]
[2026-05-06 10:14:58] MOVE asha (blue): 115→120 [0.2ms]
[2026-05-06 10:14:59] MOVE chetan (red): 3→0 [2.1ms]
[2026-05-06 10:15:00] MOVE asha (blue): 57→67 [0.2ms]
[2026-05-06 10:15:01] MOVE chetan (red): 16→7 [0.2ms]
[2026-05-06 10:15:02] MOVE asha (blue): 36→101 [0.1ms]
[2026-05-06 10:15:03] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:15:03] MOVE asha (blue): 101→102 [0.1ms]
[2026-05-06 10:15:04] MOVE chetan (red): 4→2 [0.1ms]
[2026-05-06 10:15:05] MOVE asha (blue): 102→111 [0.2ms]
[2026-05-06 10:15:06] MOVE chetan (red): 89→77 [0.1ms]
[2026-05-06 10:15:07] MOVE asha (blue): 111→115 [0.2ms]
[2026-05-06 10:15:08] MOVE chetan (red): 77→14 [0.1ms]
[2026-05-06 10:15:08] MOVE asha (blue): 28→39 [0.2ms]
[2026-05-06 10:15:10] MOVE chetan (red): 14→6 [0.1ms]
[2026-05-06 10:15:10] MOVE asha (blue): 39→104 [0.1ms]
