[2026-05-08 22:33:13] GAME CREATED
[2026-05-08 22:33:17] PLAYER JOINED: chetan as yellow
[2026-05-08 22:33:23] PLAYER JOINED: asha as purple
[2026-05-08 22:33:25] GAME STARTED — turn order: ['yellow', 'purple']
[2026-05-08 22:33:27] MOVE chetan (yellow): 46→56 [0.1ms]
[2026-05-08 22:33:29] MOVE asha (purple): 74→64 [0.1ms]
[2026-05-08 22:33:30] MOVE chetan (yellow): 56→47 [0.2ms]
[2026-05-08 22:33:32] MOVE asha (purple): 108→106 [0.2ms]
[2026-05-08 22:33:34] MOVE chetan (yellow): 47→57 [0.1ms]
[2026-05-08 22:33:35] MOVE asha (purple): 110→108 [0.1ms]
[2026-05-08 22:33:37] MOVE chetan (yellow): 57→67 [0.1ms]
[2026-05-08 22:33:39] MOVE asha (purple): 108→83 [0.1ms]
[2026-05-08 22:33:41] MOVE chetan (yellow): 36→37 [0.1ms]
[2026-05-08 22:33:42] MOVE asha (purple): 83→94 [0.1ms]
[2026-05-08 22:33:44] MOVE chetan (yellow): 67→78 [0.1ms]
[2026-05-08 22:33:46] MOVE asha (purple): 94→114 [0.1ms]
[2026-05-08 22:33:47] MOVE chetan (yellow): 78→90 [0.1ms]
[2026-05-08 22:33:49] MOVE asha (purple): 114→117 [0.2ms]
[2026-05-08 22:33:51] MOVE chetan (yellow): 90→103 [0.2ms]
[2026-05-08 22:33:52] MOVE asha (purple): 117→119 [0.1ms]
[2026-05-08 22:33:54] MOVE chetan (yellow): 103→112 [0.1ms]
[2026-05-08 22:33:56] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:33:57] MOVE chetan (yellow): 112→116 [0.1ms]
[2026-05-08 22:33:59] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:01] MOVE chetan (yellow): 116→117 [0.1ms]
[2026-05-08 22:34:03] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:34:04] MOVE chetan (yellow): 117→114 [0.5ms]
[2026-05-08 22:34:06] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:08] MOVE chetan (yellow): 114→105 [0.1ms]
[2026-05-08 22:34:09] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:34:11] MOVE chetan (yellow): 37→47 [0.1ms]
[2026-05-08 22:34:13] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:14] MOVE chetan (yellow): 105→114 [0.1ms]
[2026-05-08 22:34:16] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:34:18] MOVE chetan (yellow): 114→105 [0.2ms]
[2026-05-08 22:34:19] MOVE asha (purple): 106→83 [0.1ms]
[2026-05-08 22:34:21] MOVE chetan (yellow): 105→114 [0.1ms]
[2026-05-08 22:34:23] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:24] MOVE chetan (yellow): 114→106 [0.1ms]
[2026-05-08 22:34:26] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:34:28] MOVE chetan (yellow): 11→36 [0.1ms]
[2026-05-08 22:34:30] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:31] MOVE chetan (yellow): 106→110 [0.3ms]
[2026-05-08 22:34:33] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:34:35] MOVE chetan (yellow): 47→57 [0.1ms]
[2026-05-08 22:34:36] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:38] MOVE chetan (yellow): 35→37 [0.1ms]
[2026-05-08 22:34:40] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:34:41] MOVE chetan (yellow): 57→67 [0.1ms]
[2026-05-08 22:34:43] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:45] MOVE chetan (yellow): 67→78 [0.1ms]
[2026-05-08 22:34:46] MOVE asha (purple): 119→120 [0.3ms]
[2026-05-08 22:34:48] MOVE chetan (yellow): 78→90 [0.1ms]
[2026-05-08 22:34:50] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:51] MOVE chetan (yellow): 90→103 [0.1ms]
[2026-05-08 22:34:53] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:34:55] MOVE chetan (yellow): 24→26 [0.1ms]
[2026-05-08 22:34:57] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:34:58] MOVE chetan (yellow): 103→112 [0.1ms]
[2026-05-08 22:35:00] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:02] MOVE chetan (yellow): 112→116 [0.1ms]
[2026-05-08 22:35:03] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:05] MOVE chetan (yellow): 116→117 [0.2ms]
[2026-05-08 22:35:07] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:08] MOVE chetan (yellow): 117→114 [0.1ms]
[2026-05-08 22:35:10] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:12] MOVE chetan (yellow): 114→106 [0.2ms]
[2026-05-08 22:35:13] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:15] MOVE chetan (yellow): 37→48 [0.3ms]
[2026-05-08 22:35:17] MOVE asha (purple): 120→119 [0.2ms]
[2026-05-08 22:35:18] MOVE chetan (yellow): 106→108 [0.1ms]
[2026-05-08 22:35:20] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:22] MOVE chetan (yellow): 48→58 [0.1ms]
[2026-05-08 22:35:24] MOVE asha (purple): 97→54 [0.1ms]
[2026-05-08 22:35:25] MOVE chetan (yellow): 58→68 [0.1ms]
[2026-05-08 22:35:27] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:28] MOVE chetan (yellow): 68→79 [0.1ms]
[2026-05-08 22:35:30] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:32] MOVE chetan (yellow): 79→91 [0.1ms]
[2026-05-08 22:35:34] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:35] MOVE chetan (yellow): 91→104 [0.1ms]
[2026-05-08 22:35:37] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:39] MOVE chetan (yellow): 104→113 [0.1ms]
[2026-05-08 22:35:40] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:42] MOVE chetan (yellow): 113→117 [0.1ms]
[2026-05-08 22:35:43] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:35:45] MOVE chetan (yellow): 10→37 [0.1ms]
[2026-05-08 22:35:47] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:48] MOVE chetan (yellow): 13→38 [0.1ms]
[2026-05-08 22:35:50] MOVE asha (purple): 119→120 [0.4ms]
[2026-05-08 22:35:52] MOVE chetan (yellow): 23→35 [0.1ms]
[2026-05-08 22:35:54] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:35:55] MOVE chetan (yellow): 117→114 [0.1ms]
[2026-05-08 22:35:57] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:35:59] MOVE chetan (yellow): 38→48 [0.1ms]
[2026-05-08 22:36:00] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:02] MOVE chetan (yellow): 114→106 [0.1ms]
[2026-05-08 22:36:04] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:36:05] MOVE chetan (yellow): 106→94 [0.2ms]
[2026-05-08 22:36:07] MOVE asha (purple): 64→43 [0.1ms]
[2026-05-08 22:36:09] MOVE chetan (yellow): 37→38 [0.1ms]
[2026-05-08 22:36:11] MOVE asha (purple): 83→72 [0.2ms]
[2026-05-08 22:36:13] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:36:14] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:16] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:36:18] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:36:19] MOVE chetan (yellow): 38→49 [0.1ms]
[2026-05-08 22:36:21] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:23] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:36:24] MOVE asha (purple): 119→120 [0.3ms]
[2026-05-08 22:36:26] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:36:27] MOVE asha (purple): 84→83 [0.1ms]
[2026-05-08 22:36:29] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:36:31] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:33] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:36:34] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:36:36] MOVE chetan (yellow): 35→24 [0.1ms]
[2026-05-08 22:36:38] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:40] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:36:41] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:36:43] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:36:45] MOVE asha (purple): 109→82 [0.1ms]
[2026-05-08 22:36:46] MOVE chetan (yellow): 108→109 [0.1ms]
[2026-05-08 22:36:48] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:50] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:36:51] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:36:53] MOVE chetan (yellow): 106→108 [0.1ms]
[2026-05-08 22:36:55] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:36:56] MOVE chetan (yellow): 25→46 [0.1ms]
[2026-05-08 22:36:58] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:37:00] MOVE chetan (yellow): 46→56 [0.1ms]
[2026-05-08 22:37:01] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:37:03] MOVE chetan (yellow): 56→66 [0.2ms]
[2026-05-08 22:37:05] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:37:07] MOVE chetan (yellow): 66→77 [0.1ms]
[2026-05-08 22:37:08] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:37:10] MOVE chetan (yellow): 77→89 [0.4ms]
[2026-05-08 22:37:11] MOVE asha (purple): 119→120 [0.3ms]
[2026-05-08 22:37:13] MOVE chetan (yellow): 89→102 [0.1ms]
[2026-05-08 22:37:15] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:37:17] MOVE chetan (yellow): 102→111 [0.1ms]
[2026-05-08 22:37:18] MOVE asha (purple): 119→120 [0.2ms]
[2026-05-08 22:37:20] MOVE chetan (yellow): 111→115 [0.1ms]
[2026-05-08 22:37:22] MOVE asha (purple): 120→119 [0.1ms]
[2026-05-08 22:37:23] MOVE chetan (yellow): 115→118 [0.1ms]
[2026-05-08 22:37:25] MOVE asha (purple): 119→120 [0.1ms]
[2026-05-08 22:37:27] MOVE chetan (yellow): 118→119 [0.1ms]
[2026-05-08 22:37:28] MOVE asha (purple): 120→118 [0.2ms]
[2026-05-08 22:37:30] MOVE chetan (yellow): 119→117 [0.1ms]
[2026-05-08 22:37:32] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:37:34] MOVE chetan (yellow): 117→114 [0.1ms]
[2026-05-08 22:37:35] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:37:37] MOVE chetan (yellow): 114→106 [0.1ms]
[2026-05-08 22:37:38] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:37:40] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:37:42] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:37:44] MOVE chetan (yellow): 94→106 [0.2ms]
[2026-05-08 22:37:46] MOVE asha (purple): 82→81 [0.3ms]
[2026-05-08 22:37:47] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:37:49] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:37:51] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:37:52] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:37:54] MOVE chetan (yellow): 48→50 [0.1ms]
[2026-05-08 22:37:56] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:37:57] MOVE chetan (yellow): 106→94 [0.1ms]
[2026-05-08 22:37:59] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:01] MOVE chetan (yellow): 94→106 [0.1ms]
[2026-05-08 22:38:02] MOVE asha (purple): 96→92 [0.1ms]
[2026-05-08 22:38:04] MOVE chetan (yellow): 108→96 [0.2ms]
[2026-05-08 22:38:06] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:07] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:38:09] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:11] MOVE chetan (yellow): 36→40 [0.1ms]
[2026-05-08 22:38:12] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:14] MOVE chetan (yellow): 108→96 [0.1ms]
[2026-05-08 22:38:16] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:17] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:38:19] MOVE asha (purple): 43→42 [0.1ms]
[2026-05-08 22:38:21] MOVE chetan (yellow): 108→96 [0.2ms]
[2026-05-08 22:38:23] MOVE asha (purple): 118→116 [3.7ms]
[2026-05-08 22:38:24] MOVE chetan (yellow): 96→108 [0.4ms]
[2026-05-08 22:38:26] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:28] MOVE chetan (yellow): 106→94 [0.2ms]
[2026-05-08 22:38:29] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:31] MOVE chetan (yellow): 108→96 [0.1ms]
[2026-05-08 22:38:32] MOVE asha (purple): 116→118 [0.3ms]
[2026-05-08 22:38:34] MOVE chetan (yellow): 96→108 [0.4ms]
[2026-05-08 22:38:36] MOVE asha (purple): 54→63 [0.1ms]
[2026-05-08 22:38:37] MOVE chetan (yellow): 108→96 [0.1ms]
[2026-05-08 22:38:39] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:41] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:38:42] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:44] MOVE chetan (yellow): 40→41 [0.1ms]
[2026-05-08 22:38:46] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:48] MOVE chetan (yellow): 108→96 [0.2ms]
[2026-05-08 22:38:49] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:38:51] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:38:53] MOVE asha (purple): 42→59 [0.1ms]
[2026-05-08 22:38:55] MOVE chetan (yellow): 108→96 [0.1ms]
[2026-05-08 22:38:57] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:38:58] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:39:00] MOVE asha (purple): 116→118 [0.2ms]
[2026-05-08 22:39:02] MOVE chetan (yellow): 41→30 [0.3ms]
[2026-05-08 22:39:04] MOVE asha (purple): 118→116 [0.3ms]
[2026-05-08 22:39:05] MOVE chetan (yellow): 108→96 [0.1ms]
[2026-05-08 22:39:07] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:39:09] MOVE chetan (yellow): 96→108 [0.1ms]
[2026-05-08 22:39:10] MOVE asha (purple): 85→96 [0.1ms]
[2026-05-08 22:39:12] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:39:14] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:39:15] MOVE chetan (yellow): 85→108 [0.1ms]
[2026-05-08 22:39:17] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:39:19] MOVE chetan (yellow): 24→35 [0.1ms]
[2026-05-08 22:39:21] MOVE asha (purple): 118→116 [0.1ms]
[2026-05-08 22:39:22] MOVE chetan (yellow): 108→85 [0.2ms]
[2026-05-08 22:39:24] MOVE asha (purple): 116→118 [0.1ms]
[2026-05-08 22:39:26] MOVE chetan (yellow): 85→108 [0.1ms]
[2026-05-08 22:39:27] MOVE asha (purple): 118→115 [0.2ms]
[2026-05-08 22:39:29] MOVE chetan (yellow): 30→42 [0.1ms]
[2026-05-08 22:39:31] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:39:32] MOVE chetan (yellow): 108→85 [0.2ms]
[2026-05-08 22:39:34] MOVE asha (purple): 112→115 [0.1ms]
[2026-05-08 22:39:36] MOVE chetan (yellow): 85→108 [0.1ms]
[2026-05-08 22:39:37] MOVE asha (purple): 63→80 [0.1ms]
[2026-05-08 22:39:39] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:39:41] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:39:43] MOVE chetan (yellow): 85→108 [0.2ms]
[2026-05-08 22:39:44] MOVE asha (purple): 112→115 [0.2ms]
[2026-05-08 22:39:46] MOVE chetan (yellow): 50→40 [0.2ms]
[2026-05-08 22:39:48] MOVE asha (purple): 115→112 [0.2ms]
[2026-05-08 22:39:49] MOVE chetan (yellow): 108→85 [0.1ms]
[2026-05-08 22:39:51] MOVE asha (purple): 112→115 [0.2ms]
[2026-05-08 22:39:53] MOVE chetan (yellow): 26→38 [0.1ms]
[2026-05-08 22:39:55] MOVE asha (purple): 115→112 [0.1ms]
[2026-05-08 22:39:56] MOVE chetan (yellow): 38→39 [0.1ms]
[2026-05-08 22:39:58] MOVE asha (purple): 112→115 [0.1ms]
