[2026-05-08 22:54:14] GAME CREATED
[2026-05-08 22:54:22] PLAYER JOINED: chetan as red
[2026-05-08 22:54:36] PLAYER JOINED: asha as blue
[2026-05-08 22:54:40] GAME STARTED — turn order: ['red', 'blue']
[2026-05-08 22:54:42] MOVE chetan (red): 115→102 [0.1ms]
[2026-05-08 22:54:43] MOVE asha (blue): 5→16 [0.1ms]
[2026-05-08 22:54:45] MOVE chetan (red): 111→89 [0.2ms]
[2026-05-08 22:54:47] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:54:49] MOVE chetan (red): 89→77 [0.1ms]
[2026-05-08 22:54:51] MOVE asha (blue): 5→0 [0.2ms]
[2026-05-08 22:54:52] MOVE chetan (red): 77→66 [0.1ms]
[2026-05-08 22:54:54] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:54:56] MOVE chetan (red): 66→56 [0.1ms]
[2026-05-08 22:54:58] MOVE asha (blue): 5→0 [0.2ms]
[2026-05-08 22:55:00] MOVE chetan (red): 56→46 [0.1ms]
[2026-05-08 22:55:01] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:55:03] MOVE chetan (red): 46→35 [0.1ms]
[2026-05-08 22:55:05] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:55:07] MOVE chetan (red): 35→23 [0.1ms]
[2026-05-08 22:55:09] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:55:10] MOVE chetan (red): 23→10 [0.1ms]
[2026-05-08 22:55:12] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:55:14] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:55:16] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:55:18] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:55:20] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:55:22] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:55:23] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:55:25] MOVE chetan (red): 11→10 [0.2ms]
[2026-05-08 22:55:27] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:55:29] MOVE chetan (red): 10→11 [0.1ms]
