[2026-05-08 23:01:09] GAME CREATED
[2026-05-08 23:01:17] PLAYER JOINED: ch as red
[2026-05-08 23:01:23] PLAYER JOINED: as as blue
[2026-05-08 23:01:27] GAME STARTED — turn order: ['red', 'blue']
[2026-05-08 23:01:29] MOVE ch (red): 116→103 [0.2ms]
[2026-05-08 23:01:31] MOVE as (blue): 3→14 [0.3ms]
[2026-05-08 23:01:33] MOVE ch (red): 117→102 [0.2ms]
[2026-05-08 23:01:34] MOVE as (blue): 0→16 [0.1ms]
[2026-05-08 23:01:36] MOVE ch (red): 120→106 [0.1ms]
[2026-05-08 23:01:38] MOVE as (blue): 4→13 [0.1ms]
[2026-05-08 23:01:40] MOVE ch (red): 103→107 [0.1ms]
[2026-05-08 23:01:41] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:01:43] MOVE ch (red): 107→101 [0.1ms]
[2026-05-08 23:01:45] MOVE as (blue): 17→13 [0.1ms]
[2026-05-08 23:01:47] MOVE ch (red): 101→107 [0.1ms]
[2026-05-08 23:01:49] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:01:50] MOVE ch (red): 107→101 [0.1ms]
[2026-05-08 23:01:52] MOVE as (blue): 17→13 [0.2ms]
[2026-05-08 23:01:54] MOVE ch (red): 101→107 [0.1ms]
[2026-05-08 23:01:56] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:01:58] MOVE ch (red): 107→101 [0.1ms]
[2026-05-08 23:02:00] MOVE as (blue): 17→13 [0.1ms]
[2026-05-08 23:02:02] MOVE ch (red): 101→107 [0.1ms]
[2026-05-08 23:02:04] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:02:06] MOVE ch (red): 107→101 [0.1ms]
[2026-05-08 23:02:07] MOVE as (blue): 17→13 [0.1ms]
[2026-05-08 23:02:09] MOVE ch (red): 101→107 [0.4ms]
[2026-05-08 23:02:11] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:02:12] MOVE ch (red): 107→101 [0.1ms]
[2026-05-08 23:02:14] MOVE as (blue): 17→13 [0.1ms]
[2026-05-08 23:02:16] MOVE ch (red): 101→107 [0.1ms]
[2026-05-08 23:02:18] MOVE as (blue): 13→17 [0.1ms]
[2026-05-08 23:02:19] MOVE ch (red): 107→101 [0.1ms]
