[2026-05-15 22:49:20] GAME CREATED
[2026-05-15 22:49:44] PLAYER JOINED: chetan as red
[2026-05-15 22:49:56] PLAYER JOINED: asha as blue
[2026-05-15 22:50:00] GAME STARTED — turn order: ['red', 'blue']
[2026-05-15 22:50:00] MOVE chetan (red): 111→103 [0.2ms]
[2026-05-15 22:50:02] MOVE asha (blue): 8→17 [0.3ms]
[2026-05-15 22:50:03] MOVE chetan (red): 117→102 [0.4ms]
[2026-05-15 22:50:04] MOVE asha (blue): 6→30 [0.3ms]
[2026-05-15 22:50:05] MOVE chetan (red): 113→91 [0.2ms]
[2026-05-15 22:50:06] MOVE asha (blue): 1→6 [0.3ms]
[2026-05-15 22:50:07] MOVE chetan (red): 118→89 [0.2ms]
[2026-05-15 22:50:08] MOVE asha (blue): 5→16 [0.2ms]
[2026-05-15 22:50:09] MOVE chetan (red): 120→106 [0.3ms]
[2026-05-15 22:50:10] MOVE asha (blue): 16→41 [0.8ms]
[2026-05-15 22:50:12] MOVE chetan (red): 114→94 [0.2ms]
[2026-05-15 22:50:13] MOVE asha (blue): 0→16 [0.3ms]
[2026-05-15 22:50:14] MOVE chetan (red): 115→79 [0.3ms]
[2026-05-15 22:50:15] MOVE asha (blue): 3→18 [0.5ms]
[2026-05-15 22:50:16] MOVE chetan (red): 103→78 [0.3ms]
[2026-05-15 22:50:17] MOVE asha (blue): 7→52 [0.3ms]
[2026-05-15 22:50:18] MOVE chetan (red): 102→77 [0.2ms]
[2026-05-15 22:50:20] MOVE asha (blue): 30→51 [0.4ms]
[2026-05-15 22:50:21] MOVE chetan (red): 89→68 [0.3ms]
[2026-05-15 22:50:22] MOVE asha (blue): 9→29 [0.3ms]
[2026-05-15 22:50:23] MOVE chetan (red): 79→58 [0.2ms]
[2026-05-15 22:50:24] MOVE asha (blue): 2→7 [0.3ms]
[2026-05-15 22:50:25] MOVE chetan (red): 77→79 [0.2ms]
[2026-05-15 22:50:26] MOVE asha (blue): 17→15 [0.3ms]
[2026-05-15 22:50:28] MOVE chetan (red): 116→103 [0.2ms]
[2026-05-15 22:50:29] MOVE asha (blue): 6→30 [0.3ms]
[2026-05-15 22:50:30] MOVE chetan (red): 112→90 [0.3ms]
[2026-05-15 22:50:31] MOVE asha (blue): 15→42 [0.4ms]
[2026-05-15 22:50:32] MOVE chetan (red): 78→80 [0.3ms]
[2026-05-15 22:50:33] MOVE asha (blue): 4→61 [0.4ms]
[2026-05-15 22:50:34] MOVE chetan (red): 80→59 [0.3ms]
[2026-05-15 22:50:35] MOVE asha (blue): 51→71 [0.2ms]
[2026-05-15 22:50:37] MOVE chetan (red): 90→49 [0.3ms]
[2026-05-15 22:50:37] MOVE asha (blue): 61→82 [0.2ms]
[2026-05-15 22:50:39] MOVE chetan (red): 103→80 [0.3ms]
[2026-05-15 22:50:40] MOVE asha (blue): 42→40 [0.3ms]
[2026-05-15 22:50:41] MOVE chetan (red): 106→62 [1.1ms]
[2026-05-15 22:50:42] MOVE asha (blue): 52→93 [0.2ms]
[2026-05-15 22:50:43] MOVE chetan (red): 68→50 [0.3ms]
[2026-05-15 22:50:44] MOVE asha (blue): 30→51 [0.3ms]
[2026-05-15 22:50:45] MOVE chetan (red): 91→70 [0.4ms]
[2026-05-15 22:50:46] MOVE asha (blue): 41→81 [0.4ms]
[2026-05-15 22:50:48] MOVE chetan (red): 70→48 [2.6ms]
[2026-05-15 22:50:49] MOVE asha (blue): 16→41 [0.2ms]
[2026-05-15 22:50:50] MOVE chetan (red): 48→52 [0.2ms]
[2026-05-15 22:50:51] MOVE asha (blue): 71→69 [0.3ms]
[2026-05-15 22:50:52] MOVE chetan (red): 59→38 [0.3ms]
[2026-05-15 22:50:53] MOVE asha (blue): 40→61 [0.3ms]
[2026-05-15 22:50:54] MOVE chetan (red): 38→19 [0.2ms]
[2026-05-15 22:50:55] MOVE asha (blue): 93→91 [0.2ms]
[2026-05-15 22:50:57] MOVE chetan (red): 80→42 [0.3ms]
[2026-05-15 22:50:58] MOVE asha (blue): 69→90 [0.4ms]
