[2026-05-15 23:17:01] GAME CREATED
[2026-05-15 23:17:09] PLAYER JOINED: chetan as red
[2026-05-15 23:17:14] PLAYER JOINED: asha as blue
[2026-05-15 23:17:17] GAME STARTED — turn order: ['red', 'blue']
[2026-05-15 23:17:18] MOVE chetan (red): 113→105 [0.2ms]
[2026-05-15 23:17:19] MOVE asha (blue): 6→15 [0.3ms]
[2026-05-15 23:17:20] MOVE chetan (red): 115→104 [0.2ms]
[2026-05-15 23:17:21] MOVE asha (blue): 4→17 [0.2ms]
[2026-05-15 23:17:23] MOVE chetan (red): 118→93 [0.3ms]
[2026-05-15 23:17:24] MOVE asha (blue): 8→28 [0.4ms]
[2026-05-15 23:17:25] MOVE chetan (red): 104→81 [0.4ms]
[2026-05-15 23:17:26] MOVE asha (blue): 3→39 [0.2ms]
[2026-05-15 23:17:27] MOVE chetan (red): 117→106 [0.2ms]
[2026-05-15 23:17:28] MOVE asha (blue): 5→14 [0.3ms]
[2026-05-15 23:17:29] MOVE chetan (red): 120→104 [0.3ms]
[2026-05-15 23:17:30] MOVE asha (blue): 0→16 [0.3ms]
[2026-05-15 23:17:32] MOVE chetan (red): 106→102 [0.5ms]
[2026-05-15 23:17:33] MOVE asha (blue): 7→27 [0.2ms]
[2026-05-15 23:17:34] MOVE chetan (red): 114→71 [0.4ms]
[2026-05-15 23:17:35] MOVE asha (blue): 28→49 [0.2ms]
[2026-05-15 23:17:36] MOVE chetan (red): 105→61 [0.2ms]
[2026-05-15 23:17:37] MOVE asha (blue): 9→29 [0.2ms]
[2026-05-15 23:17:38] MOVE chetan (red): 112→94 [0.2ms]
[2026-05-15 23:17:39] MOVE asha (blue): 17→40 [0.2ms]
[2026-05-15 23:17:40] MOVE chetan (red): 71→28 [0.2ms]
[2026-05-15 23:17:41] MOVE asha (blue): 15→17 [0.2ms]
[2026-05-15 23:17:43] MOVE chetan (red): 119→71 [0.3ms]
[2026-05-15 23:17:44] MOVE asha (blue): 27→48 [0.7ms]
[2026-05-15 23:17:45] MOVE chetan (red): 93→52 [0.2ms]
[2026-05-15 23:17:46] MOVE asha (blue): 16→60 [0.2ms]
[2026-05-15 23:17:47] MOVE chetan (red): 81→18 [0.2ms]
[2026-05-15 23:17:48] MOVE asha (blue): 29→72 [0.2ms]
[2026-05-15 23:17:49] MOVE chetan (red): 61→42 [0.2ms]
[2026-05-15 23:17:50] MOVE asha (blue): 39→106 [2.8ms]
[2026-05-15 23:17:52] MOVE chetan (red): 52→9 [0.2ms]
[2026-05-15 23:17:53] MOVE asha (blue): 48→70 [0.2ms]
[2026-05-15 23:17:54] MOVE chetan (red): 71→73 [0.2ms]
[2026-05-15 23:17:55] MOVE asha (blue): 17→19 [0.4ms]
[2026-05-15 23:17:56] MOVE chetan (red): 73→69 [0.2ms]
[2026-05-15 23:17:57] MOVE asha (blue): 60→79 [0.2ms]
[2026-05-15 23:17:58] MOVE chetan (red): 69→71 [0.2ms]
[2026-05-15 23:17:59] MOVE asha (blue): 70→81 [0.3ms]
[2026-05-15 23:18:00] MOVE chetan (red): 9→8 [0.3ms]
[2026-05-15 23:18:02] MOVE asha (blue): 81→83 [0.4ms]
[2026-05-15 23:18:03] MOVE chetan (red): 8→5 [0.4ms]
[2026-05-15 23:18:04] MOVE asha (blue): 72→95 [0.2ms]
[2026-05-15 23:18:05] MOVE chetan (red): 94→73 [0.2ms]
[2026-05-15 23:18:06] MOVE asha (blue): 95→70 [0.4ms]
[2026-05-15 23:18:07] MOVE chetan (red): 111→89 [0.2ms]
[2026-05-15 23:18:08] MOVE asha (blue): 70→95 [0.2ms]
[2026-05-15 23:18:09] MOVE chetan (red): 102→77 [0.4ms]
[2026-05-15 23:18:10] MOVE asha (blue): 2→31 [0.3ms]
[2026-05-15 23:18:11] MOVE chetan (red): 18→16 [0.2ms]
[2026-05-15 23:18:13] MOVE asha (blue): 95→94 [0.2ms]
[2026-05-15 23:18:14] MOVE chetan (red): 5→2 [0.3ms]
[2026-05-15 23:18:15] MOVE asha (blue): 40→41 [0.3ms]
[2026-05-15 23:18:16] MOVE chetan (red): 42→17 [0.3ms]
[2026-05-15 23:18:17] MOVE asha (blue): 19→40 [0.9ms]
[2026-05-15 23:18:18] MOVE chetan (red): 17→9 [0.9ms]
[2026-05-15 23:18:19] MOVE asha (blue): 41→51 [0.2ms]
[2026-05-15 23:18:20] MOVE chetan (red): 16→7 [0.3ms]
[2026-05-15 23:18:21] MOVE asha (blue): 40→105 [0.4ms]
[2026-05-15 23:18:23] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-15 23:18:24] MOVE asha (blue): 106→114 [0.3ms]
[2026-05-15 23:18:25] MOVE chetan (red): 2→5 [0.4ms]
[2026-05-15 23:18:26] MOVE asha (blue): 1→8 [0.3ms]
[2026-05-15 23:18:27] MOVE chetan (red): 9→2 [0.3ms]
